oi,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N0,12AFIL27A,AFIL 12% 2027,9940,9999,9999,9999,9999,49995,5,N, ,1,10041.17,8602
N,N0,12VCCL27D,VCCL 12% 2027 SR C,98549.5,98000,98000,98000,98000,294000,3,N, ,3,98990,90000
N,N0,12VCCL29B,VCCL 12% 2029,99000,99000,99000,98000,98000,394000,4,N, ,3,103900,89900
N,N0,915APSBC29,APSBC 9.15% 2029 STRPP D,100800,101400,101400,101400,101400,1014000,10,N, ,1,101999.99,98356.17
N,N0,925ISF28,ISF 9.25% 2028,9882,8000,9800,8000,9800,1817331,222,N, ,9,9950,7751
N,N0,930APMD27,APMD 9.30% 2027 STRPP A,101483.22,101483,101483,101483,101483,101483,1,N, ,1,102497.54,99801.75
N,N0,930APMD30,APMD 9.30% 2030 STRPP D,103314.78,103314.78,103314.78,102430,102436.25,1639814.8,16,N, ,7,113000,100605.21
N,N0,930APMD31,APMD 9.30% 2031 STRPP E,103500,103351,103351,102800,102800,1028565,10,N, ,4,104813.04,100100
N,N0,930APMD32,APMD 9.30% 2032 STRPP F,105499,105599,105599,105599,105599,633594,6,N, ,2,105999,100000
N,N0,930APMD33,APMD 9.30% 2033 STRPP G,104000,104993.7,105599,104993.7,105599,2104842.5,20,N, ,8,105760,100561
N,N0,930APMD34,APMDC 9.30% 2034 STRPP H,106299,103975,104883,103975,104883,208858,2,N, ,2,106868,100663
N,N0,935TSI30,TSI 9.35% 30 SR I-D,103235.07,101588.01,101588.01,101000,101000,1116880.05,11,N, ,3,104518.77,101000
N,N0,935TSI31,TSI 9.35% 31 SR I-E,102250,103523.45,103523.45,103523.45,103523.45,517617.25,5,N, ,1,119001,101621.99
N,N0,950ISF27C,ISF 9.50% 2027,9800,9850,9940,9850,9940,296370,30,N, ,4,10250,9400
N,N1,1015SCL29B,SEC RE NCD 10.15% SR VII,998.65,998.65,998.65,998.65,998.65,49932.5,50,N, ,2,1034,970
N,N1,1040UCL27B,SEC RE NCD 10.40% SR III,1004.65,1002,1002,990,1000,5992,6,N, ,6,1035,850
N,N1,735NABAR31,7.35% TAX FREE TRI SRIIA,1080.71,1081,1082,1078.01,1081.99,258941.6,240,N, ,4,1164.9,1078.01
N,N1,740IIFCL33,7.40% TAX FREETRI SRIII,1120.6,1120.9,1120.9,1120.9,1120.9,280225,250,N, ,1,1221.01,1109
N,N1,78ABCL33,ABCL 7.8% SR V,1010,995,1007,995,1007,449550,450,N, ,2,1050,899
N,N1,79NHIT35,SEC RE NCD 7.90% STRPP A,315.02,315,315,312.65,313.04,934518.71,2980,N, ,26,342.1,300.08
N,N1,805NMC29,NMC 8.05% 2029 SR STRPP A,122.17,122.25,122.25,122.25,122.25,1222.5,10,N, ,1,124.99,122.17
N,N1,872MMFSL26,8.72% UNSECURED NCD,1003,1003.05,1005,1003,1005,437385,436,N, ,9,1045,1000
N,N1,888ECL28,ECL 8.88% 2028 SR V,975,995,1028,931,975,353141,347,N, ,7,1028,785
N,N1,8SMC29,SMC 8% 2029 STRPP A,508.35,515,515,515,515,2575,5,N, ,1,520,496.1
N,N1,905PFL26,PFL 9.05% SR II 2026,1010,1020,1020,1020,1020,284580,279,N, ,8,1033,996
N,N1,925AEL26,SEC RE NCD 9.25% SR I,1036,1034.12,1034.12,1028,1031,537164.75,520,N, ,10,1090,993.23
N,N1,925IHFL29,SEC RE NCD 9.25% SR VII,891,850.2,900,850.2,900,35004,40,N, ,2,1030,850.2
N,N1,9IHFL27,SEC RE NCD 9% SR IV,994,963.45,963.45,963,963,482481,501,N, ,2,1028.35,930.45
N,N1,IHFL261224,SEC RE NCD SR II,1075.2,1080.45,1080.45,1080.25,1080.25,64825,60,N, ,3,1094.75,950.2
N,N1,IMC1,SEC RE NCGB 8.25% STRPP B,251.22,287.5,287.5,265,265,114837.5,401,N, ,2,287.5,240
N,N1,SCL271224A,SCL 0% 2026 SR III,1061,1061,1061,1061,1061,106100,100,N, ,1,1061,905
N,N2,764NABAR31,7.64% TAX FREE TRI SRIIB,1084.21,1084.1,1085.1,1078.1,1078.73,5418201.39,5009,N, ,103,1174,1078.1
N,N2,79NHIT40,SEC RE NCD 7.90% STRPP B,314.05,316,316.8,314.72,315.1,950135.52,3001,N, ,12,372,303.8
N,N2,805NMC30,NMC 8.05% 2030 SR STRPP B,124.67,124.67,124.67,124.67,124.67,2493.4,20,N, ,2,124.99,122
N,N2,810IRFC27,BOND 8.10% PA TAX FREE S2,1057.91,1055.55,1057.4,1055,1057.24,2662960.03,2521,N, ,36,1120.7,1028.6
N,N2,82HUDCO27,8.20 NCD05MAR27 FV 1000,1026,1025.9,1025.9,1021,1025.5,1861646.06,1820,N, ,15,1129,1019
N,N2,830CIFC26,SEC RE NCD 8.30% SR.III,1065.76,1149,1149,1062,1062,89661.99,82,N, ,5,1171,987.2
N,N2,830NHAI27,BOND 8.30% PA TAX FREE S2,1062.91,1059.32,1063,1057,1058.24,4585332.61,4329,N, ,36,1198.79,1026.01
N,N2,8SMC30,SMC 8% 2030 STRPP B,505,515,515,515,515,515,1,N, ,1,549,490.39
N,N2,91MOFSL27,SEC RE NCD 9.10% SR III,1097,1064,1066.11,1064,1066.11,181216.5,170,N, ,8,1097.25,912
N,N2,9MMFSML,9.00% UNSECURED NCD,1065,1065,1067.99,1065,1067.99,49079.7,46,N, ,8,1098.8,996.66
N,N2,9SCL27,SCL 9.00% 2027 SR I,1026,1011.5,1026,1011.5,1026,14219,14,N, ,2,1026.2,887
N,N3,760PFCL35,7.60% TAX FREE NCD,1195,1180,1180,1178,1178.38,235677,200,N, ,5,1249,1126.21
N,N3,79NHIT47,SEC RE NCD 7.90% STRPP C,423,421.2,422.5,419,419,1848863.76,4383,N, ,30,483.86,404
N,N3,866IIFC34B,8.66% TAX FREE NCD,1220,1207.01,1207.01,1207.01,1207.01,12070.1,10,N, ,1,1679.9,1197.8
N,N3,M&MFIN,UNSECURED NCD,2277,2277,2277,2255.08,2274.75,834343.08,367,N, ,15,2335.01,1823
N,N4,1003ISFL28,SEC RE NCD 10.03% SR 5,1001,1002.7,1002.7,997.51,1000.46,923188.02,923,N, ,5,1199,963.55
N,N4,10IIFL28,UNSEC RE NCD 10% SR.I,1035,1035,1035,1006,1033,1474594.06,1429,N, ,6,1079.5,961
N,N4,734IRFC28,7.34 NCD 19FEB28 TR1 SR2,1062.34,1061.02,1061.02,1061.01,1061.01,530505.02,500,N, ,3,1105,1018.32
N,N4,805NMC32,NMC 8.05% 2032 SR STRPP D,124.61,124.61,124.61,124.61,124.61,9968.8,80,N, ,5,124.99,121.5
N,N4,840CIFCL28,SEC RE NCD 8.40% SR.V,1075,1074.5,1074.5,1074.5,1074.5,53725,50,N, ,1,1080,988.8
N,N4,891IIFCL34,8.91% TAX FREE NCD,1220,1220,1220,1218,1218,500160,410,N, ,2,1348,1210.41
N,N4,897MOFSL29,SEC RE NCD 8.97% SR V,1011,1010,1010,993,1002.04,1972051.82,1964,N, ,36,1084.1,986.4
N,N4,965AEL27,SEC RE NCD 9.65% SR IV,1052,1052,1054,1052,1052.32,609218,579,N, ,8,1140,984.7
N,N5,1050ISFL28,SEC RE NCD 10.50% SR 6,1000,980,990,975.3,982.57,173915.8,177,N, ,3,1099,931
N,N5,10CAGL27,SEC RE NCD 10% SR. V,1015,1014.11,1014.11,1014,1014.04,450251,444,N, ,11,1089.99,977.53
N,N5,751HUDCO28,7.51 NCD 16FEB28 TR1 SR2,1044.5,1040,1040,1035.5,1035.5,1069732.32,1033,N, ,13,1115,1032.21
N,N5,805NMC33,NMC 8.05% 2033 SR STRPP E,124.85,124.85,124.85,124.85,124.85,2497,20,N, ,1,124.99,124.5
N,N5,830PFCL27,8.30% TAX FREE NCD,1057.5,1056,1057,1056,1056,359080,340,N, ,8,1119.9,1029.21
N,N5,850NHAI29,8.50% TAX FREE TR I S IIA,1094.59,1110,1110,1075,1075.01,2631575.7,2414,N, ,6,1372.8,1072.88
N,N5,880IREDA29,IREDA 8.80NCDTR I SR II B,1082,1082.54,1082.54,1082.54,1082.54,649524,600,N, ,3,1204,1079.81
